ID,English,Bodo,Mizo,Category
0045,Wear safety goggles,सेफ्टि गोगल लागायगोन,Safety goggles vuah rawh,Science
0046,Record your observations,नायनि नायदोनायखौ रिकर्ड थ,I hmu tawnna ziak la rawh,Science
0047,The water is boiling,दै बोराय दङ,Tui chu a luang mek,Science
0048,Label the diagram,डायाग्राम लेबल थ,Diagram kha label rawh,Science
0049,What are the parts of a cell?,सेल जाय मायथिफोर मा?,Cell kawng zawng chu eng nge?,Science
0050,The planet revolves around the sun,ग्रहा रबिनि खालामाव गिरिफुं दङ,Planet chu ni vel ah a vel,Science
0051,This is a chemical reaction,बेयो केमिकल रियाक्सन,Hei hi chemical reaction a ni,Science
0052,Gravity pulls objects down,गुरुत्व बाथ्राफोरखौ गोजौथिनो थानाय दङ,Gravity hian thil chu a kawm hniam,Science
0053,Plants need sunlight,गासैफोरनो रबिनि सालाय गोनां,Thing-te hian ni êng an mamawh,Science
0054,Draw the life cycle,लाइफ साइकल गोरसिन,Nunphung kha draw rawh,Science
0055,Identify the minerals,खानिजफोरखौ सायगोन,Mineral-te chu hriatchhuah rawh,Science
0056,Temperature is rising,तापमान फुंगोनाय दङ,Lumna a sang mek,Science
0057,Measure the volume,भोल्युम नाफा,Volume teh rawh,Science
0058,What is the hypothesis?,हाइपोथेसिस मा?,Hypothesis chu eng nge?,Science
0059,Test your prediction,नायनि आगाथाव नायनायखौ टेस्ट थ,I ngaihtuahna test rawh,Science
0060,Discuss your findings,नायनि मुनायखौ आलोसना थ,I hmuh tawnna sawihona rawh,Science
0061,What is the capital of India?,इन्डियानि राजधानि मा?,India khawpui ber chu eng nge?,Social Science
0062,Study the map carefully,नक्साखौ मोनो होनगोन,Map kha ngaithla takin zir rawh,Social Science
0063,When did India get independence?,इन्डिया मावनो आजादि मोननाय?,India hi engtikah nge zalenna a dawng?,Social Science
0064,Name the seven continents,श्नि महादेशखौ मुं,Continent sarih hmingtha rawh,Social Science
0065,Discuss the historical event,एथाव गोनां होयायखौ आलोसना थ,Historical thil thleng sawihona rawh,Social Science
0066,Draw the national flag,राष्ट्रिय फ्लाग गोरसिन,Ramri tuta kha draw rawh,Social Science
0067,Who was the first prime minister?,गिबि गुफुराव मिनिस्टर सोर?,Sorkar hruaitu hmasa ber chu tu nge?,Social Science
0068,Locate the river on the map,नक्साथाव लुइखौ मुं,Map-ah lui kha hmuh rawh,Social Science
0069,What is democracy?,लोकतन्त्र मा?,Democracy chu eng nge?,Social Science
0070,Learn about our culture,जाथिनि बिसोमाव होनगोन,Kan nunphung zir rawh,Social Science
0071,This is our national anthem,बेयो जाथिनि गान,Hei hi kan ram hla a ni,Social Science
0072,The constitution is important,बिधान गोनांलै,Constitution hi a pawimawh hle,Social Science
0073,Study the timeline,टाइमलाइन होनगोन,Timeline kha zir rawh,Social Science
0074,What are fundamental rights?,मुल अधिकार मा?,Dikna bulpui chu eng nge?,Social Science
0075,Our national bird is peacock,जाथिनि दावनाय मोर,Kan ramri sava chu peacock a ni,Social Science
0076,Explain the revolution,रिभोल्युसनखौ बुंगोन,Revolution kha sawifiah rawh,Social Science
0077,Name the neighboring countries,खौरां रायजोथिफोरखौ मुं,Ram bulhmang hmingtha rawh,Social Science
0078,What is the population?,मानोब सान मा?,Mi zat chu engzat nge?,Social Science
0079,This happened in which year?,बेयो मा बोसोरथाव होयो?,Hei hi kum engzatah nge a thleng?,Social Science
0080,Learn the state capitals,राज्यफोरनि राजधानिफोर होनगोन,Hmun hrang hrang khawpui zir rawh,Social Science
0081,May I ask a question?,आं जेबो हाबा हायदों नोमा?,Zawhna ka zawt thei em?,Student Question
0082,Can you explain again?,दावगासे बुंनो हायो नोमा?,I sawifiah leh thei em?,Student Question
0083,I don't understand,आं गोजौबाय,Ka hrethiam lo,Student Question
0084,May I go to the bathroom?,आं बाथरुम होयो नोमा?,Tihlet ka kal thei em?,Student Question
0085,Is this correct?,बेयो गोजौ नामा?,Hei hi a dik em?,Student Question
0086,What is the homework?,होमवर्क मा?,Homework chu eng nge?,Student Question
0087,When is the exam?,परिखा मावनो?,Exam chu engtikah nge?,Student Question
0088,Can I borrow a pen?,आं कलम ब'बाय लाफायनो हायो नोमा?,Pen ka la thei em?,Student Question
0089,Did I miss anything?,आं जेबो बाहागोबाय नामा?,Eng emaw ka chan em?,Student Question
0090,How do we solve this?,जोबोन बेखौ सोलभ थायनो हाया?,Engtin nge hei hi kan chinfel?,Student Question
0091,What does this word mean?,बे सोदोबाव मा मानथाय दङ?,He thu hian eng nge a awmzia?,Student Question
0092,May I sit here?,आं बिनिथाव फुंनो हायो नोमा?,Hetah ka thu thei em?,Student Question
0093,Can you repeat that?,बेखौ दावगासे हायदों नोमा?,Chuta i sawi leh thei em?,Student Question
0094,I forgot my book,आं आंनि किताब मोजानबाय,Ka lehkhabu ka theihnai,Student Question
0095,Is it time for lunch?,सानाय जानाय बेला होयो नामा?,Chaw ei hun tawh em?,Student Question
0096,Am I late?,आं लेट होयो नामा?,Ka tling em?,Student Question
0097,What page are we on?,बो मा पेज आव दङ?,Phek engmah nge kan awm?,Student Question
0098,Can I work with a partner?,आं जेरावसो लानो गोब थायनो हायो नोमा?,Thiante nen ka thawk thei em?,Student Question
0099,I finished the work,आं गोबखौ सोमोन्दोखौबाय,Ka hna ka zo tawh,Student Question
0100,May I drink water?,आं दै नुंनो हायो नोमा?,Tui ka in thei em?,Student Question
0101,Excellent work!,गोजौ लाफा!,Ṭha tak tak!,Feedback
0102,Well done!,बेयै गोजौ!,I ṭha hle!,Feedback
0103,Very good!,बेयै गोजौ!,A tha hle!,Feedback
0104,Keep it up!,बेसेन होयो!,I chhunzawm zel ang che!,Feedback
0105,You can do better,नं बेयावनाय गोनां हानो,I tha zawk thei ang,Feedback
0106,Try harder,बेसेन नायदोन,Bei nasa zawk rawh,Feedback
0107,Good effort,गोजौ नायदोनाय,I bei dan a tha,Feedback
0108,Needs improvement,सुधार गोनां,Tihchangtlun a ngai,Feedback
0109,Almost correct,गोजौ लासिम,A dik tawp mai,Feedback
0110,Pay more attention,बेसेन गोहोम सोद,Ngaihven nasa zawk rawh,Feedback
0111,Outstanding!,बेयै बेयै गोजौ!,A hlawhtling hle!,Feedback
0112,Perfect answer!,परफेक्ट फोराय!,Chhan tha tak!,Feedback
0113,You're improving,नं सुधार होयाय दङ,I thang chho mek,Feedback
0114,Great job!,गोजौ लाफा गोब!,Hna tha tak!,Feedback
0115,Keep practicing,नायदोनाय राखाथि थ,Practice chhunzawm zel rawh,Feedback
0116,Think carefully,मोनो बिसारगोन,Ngaihtuah tha takin,Feedback
0117,Check your work again,दावगासे नायनि गोबखौ सायगोन,I hna enfin leh rawh,Feedback
0118,This is wrong,बेयो गोरलाव,Hei hi a dik lo,Feedback
0119,You're on the right track,नं गोजौ लामथाव दङ,Kawng dik i zawh mek,Feedback
0120,Much better than before,आगानायनो बेसेन गोजौ,Hma aia tha zawk,Feedback
0121,Good morning class,सुबुं बिहान,Zing tlâm ṭha class,Daily Interaction
0122,Good afternoon,सुबुं बेलासे,Tlêm tlâm ṭha,Daily Interaction
0123,How are you?,नं जोबोन दङ?,I dam em?,Daily Interaction
0124,Please sit down,अननानै फुं,Thu rawh le,Daily Interaction
0125,Stand up please,दिंना गोन,Ding rawh le,Daily Interaction
0126,Thank you,मोजां,Ka lawm e,Daily Interaction
0127,You're welcome,राखाइ,Kan lo lawm e,Daily Interaction
0128,Excuse me,आं माफ थ,Min senkawp rawh,Daily Interaction
0129,I'm sorry,आं दुःख लायबाय,Ka ngaidam rawh,Daily Interaction
0130,See you tomorrow,गाबै नायना हागोन,Tukleha kan inhmu leh ang,Daily Interaction
0131,Have a nice day,गोजौ सान हागोन,Ni tha tak nei rawh,Daily Interaction
0132,Be careful,सानफार राखा,Ngaihtuah takin,Daily Interaction
0133,Help your friend,नायनि गिबिरखौ मदद थ,I thian pui rawh,Daily Interaction
0134,Share with others,गुबुनसोनो हारि थ,Midang nen sem rawh,Daily Interaction
0135,Wait for your turn,नायनि बेलानो राखा,I hun nghak rawh,Daily Interaction
0136,Line up please,लाइन थ गोन,Line-ah ding rawh,Daily Interaction
0137,Come here,बिनिथाव लाबो,Hetah lo rawh,Daily Interaction
0138,Go there,अन्थाय होयो,Khatiang ah kal rawh,Daily Interaction
0139,Please hurry up,अननानै जल्दि थ,Chak rawh le,Daily Interaction
0140,Take your time,बेला लानो गोन,Inngaithlak rawh,Daily Interaction
0141,The exam starts now,परिखा दानो सुबुं होना,Exam hi tunah a tan ta,Exam Instruction
0142,You have one hour,नायथि सै घण्टा आरो,Darkar khat i nei,Exam Instruction
0143,Read all questions first,गासै हाबाफोर गिबिबो फोरनो पाठ थ,Zawhna zawng hmalawk chhiar rawh,Exam Instruction
0144,No talking during exam,परिखा बेलाथाव फोथाय खौरांदों,Exam hun lai hian thu sawi suh,Exam Instruction
0145,Answer all questions,गासै हाबाफोरनि फोराय फोरायदों,Zawhna zawng chhan rawh,Exam Instruction
0146,Write clearly,गोजौबार लिरगोन,Chiang takin ziak rawh,Exam Instruction
0147,Check your answers,नायनि फोरायफोरखौ सायगोन,I chhan-te enfin rawh,Exam Instruction
0148,Five minutes remaining,बा मिनुट बाथायबाय,Minute panga a la awm,Exam Instruction
0149,Time is up,बेला खालासो होनो,Hun a tawp ta,Exam Instruction
0150,Put down your pens,नायनि कलमफोरखौ गोजौथिनो दों,I pen-te dah tawh rawh,Exam Instruction
0151,Submit your papers,नायनि कागजखौ फोरायदों,I lehkhabu thawn rawh,Exam Instruction
0152,No cheating allowed,सोम्फायनाय आबानाय,Cheat theih a ni lo,Exam Instruction
0153,Keep your eyes on your paper,नायनि कागज आव मिखा राखा,I lehkhabu chu en zel rawh,Exam Instruction
0154,One question at a time,सै आव सै हाबा,Zawhna pakhat chauh hmain,Exam Instruction
0155,Skip if you don't know,बाखाय मानो खान्दो गासै होयो,I hre lo chuan skip rawh,Exam Instruction
0156,Use pencil for diagrams,डायाग्राम आव पेन्सिल बाहाय,Diagram-ah pencil hman rawh,Exam Instruction
0157,Write your roll number,नायनि रोल नम्बर लिरगोन,I roll number ziak rawh,Exam Instruction
0158,Don't forget your name,नायनि मुंखौ मोजानबा,I hming theihna rawh suh,Exam Instruction
0159,Follow the instructions,सोद फोरनि गिबिबो होयो,Instruction zawm rawh,Exam Instruction
0160,Good luck everyone,गासैबो गोजौ लाबो,Hlawhtlin rawh u,Exam Instruction
0161,One,सै,Khat,Numbers
0162,Two,नै,Pahnih,Numbers
0163,Three,थाम,Pathum,Numbers
0164,Four,ब्राय,Pali,Numbers
0165,Five,बा,Panga,Numbers
0166,Six,रो,Ruk,Numbers
0167,Seven,श्नि,Sarih,Numbers
0168,Eight,जात,Riat,Numbers
0169,Nine,स्कौ,Kua,Numbers
0170,Ten,दस,Sawm,Numbers
0171,Twenty,कुइ,Sawm pahnih,Numbers
0172,Thirty,तिनकुइ,Sawm thum,Numbers
0173,Forty,ब्राइकुइ,Sawm pali,Numbers
0174,Fifty,बायकुइ,Sawm panga,Numbers
0175,Hundred,सै,Za,Numbers
0176,Red,लुबा,Sen,Colors
0177,Blue,गुनाउ,Dum hring,Colors
0178,Green,गिसिन,Hring,Colors
0179,Yellow,गोसै,Eng,Colors
0180,White,फुथार,Var,Colors
0181,Black,खुंगा,Dum,Colors
0182,Orange,नारेङ्गि रोङ,Orange,Colors
0183,Pink,गुलाफि,Pink,Colors
0184,Brown,दाम रोङ,Vawk,Colors
0185,Purple,बेगुनि,Sen dum,Colors
0186,Head,खोम,Lu,Body Parts
0187,Eye,मिखा,Mit,Body Parts
0188,Ear,गुफुर,Bengkung,Body Parts
0189,Nose,गुखुं,Hmui,Body Parts
0190,Mouth,खा,Ka,Body Parts
0191,Hand,खुन्था,Kut,Body Parts
0192,Leg,था,Ke,Body Parts
0193,Finger,खुन्सिम,Kut zungtang,Body Parts
0194,Foot,थागोन,Keng,Body Parts
0195,Hair,खुरां,Sam,Body Parts
0196,Teeth,था,Ha,Body Parts
0197,Tongue,जिब्ला,Thlai,Body Parts
0198,Face,गुदुम,Mai,Body Parts
0199,Neck,खोनोर,Ngawng,Body Parts
0200,Shoulder,खौथि,Lengbang,Body Parts
0201,Dog,सुई,Ui,Animals
0202,Cat,मेसा,Ngeru,Animals
0203,Cow,मोसो,Bawng,Animals
0204,Goat,मेमा,Kelchhia,Animals
0205,Bird,दावनाय,Sava,Animals
0206,Fish,दान,Sangha,Animals
0207,Tiger,बाघ,Keikal,Animals
0208,Elephant,होथाइ,Sai,Animals
0209,Horse,दोर,Sakawr,Animals
0210,Lion,सिङ,Sakhei,Animals
0211,Monkey,बोथोर,Vak,Animals
0212,Rabbit,रागा,Sapui,Animals
0213,Snake,दाउ,Rul,Animals
0214,Chicken,दाउ,Ar,Animals
0215,Buffalo,मइना,Sial,Animals
0216,Rice,माय,Buh,Food
0217,Water,दै,Tui,Food
0218,Milk,दुद,Tui tul,Food
0219,Bread,फाउ,Puawn,Food
0220,Fish,दान,Sangha,Food
0221,Meat,सा,Sa,Food
0222,Vegetable,गासै,Thing hring,Food
0223,Fruit,बिजाब,Thei,Food
0224,Salt,सान,Chi,Food
0225,Sugar,गुदा,Chhe,Food
0226,Tea,सा,Ti,Food
0227,Egg,खुदाम,Arhte,Food
0228,Oil,थेल,Thau,Food
0229,Butter,मागुं,Sak puan,Food
0230,Honey,खौदां,Khuai,Food
0231,Father,बाबै,Pa,Family
0232,Mother,माउ,Nu,Family
0233,Brother,बिसाराब,Naupa,Family
0234,Sister,बिनाइ,Thlai,Family
0235,Son,अब,Fapa,Family
0236,Daughter,बिसि,Fate,Family
0237,Grandfather,आबु,Tetu,Family
0238,Grandmother,आबाइ,Pui,Family
0239,Uncle,गाजाब,Nau pa,Family
0240,Aunt,गाजुं,Nau nu,Family
0241,Husband,रोखा,Pa,Family
0242,Wife,माय,Nu,Family
0243,Child,गाब्रा,Naupang,Family
0244,Baby,लुबु,Naupang te,Family
0245,Friend,गिबिर,Thian,Family
0246,Sun,रबि,Ni,Nature
0247,Moon,दा,Thla,Nature
0248,Star,काथि,Arsi,Nature
0249,Sky,मुखां,Van,Nature
0250,Cloud,गुमाम,Chhum,Nature
0251,Rain,खौरां,Ruah,Nature
0252,Wind,गुर,Thlî,Nature
0253,River,लुइ,Lui,Nature
0254,Mountain,दान,Tlang,Nature
0255,Tree,सिम,Thing,Nature
0256,Flower,बारा,Par,Nature
0257,Leaf,गुफान,Hnah,Nature
0258,Forest,दावखौ,Ram,Nature
0259,Stone,खुन्दा,Lung,Nature
0260,Earth,हाथार,Leilung,Nature
0261,Book,किताब,Lehkhabu,School
0262,Pen,कलम,Pen,School
0263,Pencil,खुरांथिनाय,Pencil,School
0264,Paper,काखव,Phek,School
0265,Bag,थावफा,Khaw,School
0266,Desk,तेबुल,Tawltlang,School
0267,Chair,फुंसा,Tumbawh,School
0268,Board,बोर्ड,Board,School
0269,Chalk,सुफुर,Chalk,School
0270,Eraser,मेसनाय,Eraser,School
0271,Ruler,खुनदै,Scale,School
0272,Notebook,फोरमा,Lehkhabu,School
0273,Teacher,उखार,Zirtirtu,School
0274,Student,सुबुं,Zirlaite,School
0275,Classroom,कखा,Classroom,School
0276,Go,होयो,Kal,Verbs
0277,Come,लाबो,Lo,Verbs
0278,Sit,फुं,Thu,Verbs
0279,Stand,दिंना,Ding,Verbs
0280,Read,पाठ,Chhiar,Verbs
0281,Write,लिर,Ziak,Verbs
0282,Listen,नुं,Ngai,Verbs
0283,Speak,फोथाय,Thusawi,Verbs
0284,Eat,जा,Ei,Verbs
0285,Drink,नुं,In,Verbs
0286,Sleep,गुं,Mut,Verbs
0287,Wake,सोरगोन,Tho,Verbs
0288,Walk,जाबाय,Kal,Verbs
0289,Run,रेबगोन,Tlan,Verbs
0290,Jump,फार,Zuang,Verbs
0291,See,नायदोन,Hmu,Verbs
0292,Hear,नुं,Hre,Verbs
0293,Touch,साम,Hnem,Verbs
0294,Smell,मुंनो,Humhim,Verbs
0295,Taste,जाननो,Chin,Verbs
0296,Big,गेदेम,Lian,Adjectives
0297,Small,गिदिर,Te,Adjectives
0298,Good,गोजौ,Tha,Adjectives
0299,Bad,गोरलाव,Tha lo,Adjectives
0300,Hot,गोलाव,Lum,Adjectives
0301,Cold,गान,Vawt,Adjectives
0302,Fast,फोरां,Chak,Adjectives
0303,Slow,लायो,Zawi,Adjectives
0304,Heavy,लाफा,Rit,Adjectives
0305,Light,हाथि,Awlsam,Adjectives
0306,Long,जौगा,Sei,Adjectives
0307,Short,थायो,Tawi,Adjectives
0308,High,मुंथाइ,Sang,Adjectives
0309,Low,नामथाइ,Hniam,Adjectives
0310,Happy,गोनां,Hlim,Adjectives
0311,Sad,दुःख,Ngai dam,Adjectives
0312,Strong,गुसुम,Chakawm,Adjectives
0313,Weak,बोसोर,Tawtchhuah,Adjectives
0314,Clean,सुगु,Thianghlim,Adjectives
0315,Dirty,मायरा,Bo,Adjectives
0316,Today,दिनै,Tun ni,Time
0317,Tomorrow,गाबै,Tukleha,Time
0318,Yesterday,माबै,Zanin,Time
0319,Morning,बिहान,Zing,Time
0320,Afternoon,बेलासे,Tlêm,Time
0321,Evening,बाइग्रा,Zan tlêm,Time
0322,Night,राति,Zan,Time
0323,Day,सान,Ni,Time
0324,Week,सप्ताह,Kar,Time
0325,Month,दान,Thla,Time
0326,Year,बोसोर,Kum,Time
0327,Monday,गोदाल,Inrinni,Time
0328,Tuesday,मंगलवार,Thlawhpuini,Time
0329,Wednesday,बुधवार,Pathhumni,Time
0330,Thursday,बिहिवार,Pualthanni,Time
0331,Friday,सुकुरवार,Sukridanni,Time
0332,Saturday,सनिवार,Inrinni,Time
0333,Sunday,रबिवार,Pathian ni,Time
0334,Hour,घण्टा,Darkar,Time
0335,Minute,मिनुट,Minute,Time
0336,House,नो,In,Objects
0337,Door,सुलुं,Kawng,Objects
0338,Window,गुदुम जिरनाय,Thlawhna,Objects
0339,Roof,खौगाव,Inchung,Objects
0340,Floor,गोजौथि,Inkar,Objects
0341,Wall,गुदुं,Tlang,Objects
0342,Road,लाम,Kawng,Objects
0343,Car,मोटर,Motor,Objects
0344,Bicycle,साइकिल,Baisakul,Objects
0345,Boat,गान्दो,Lawng,Objects
0346,Clothes,दोरोन,Thawhtute,Objects
0347,Shoe,खोम्फा,Kengkawng,Objects
0348,Hat,खुरुम,Lukawng,Objects
0349,Watch,बेला नायनाय,Darkar,Objects
0350,Money,थांगो,Sum,Objects
0351,Key,खुनसुर,Key,Objects
0352,Knife,हारि,Hrai,Objects
0353,Spoon,जानाय,Theikhia,Objects
0354,Plate,थारि,Bel,Objects
0355,Cup,थारि,Khawm,Objects
0356,In,आव,Chungah,Prepositions
0357,On,आव,Chunga,Prepositions
0358,Under,गोजौथिनो,Nuai,Prepositions
0359,Above,मुंथाय,A chung,Prepositions
0360,Before,आगाथाव,Hmain,Prepositions
0361,After,उनाव,Hnua,Prepositions
0362,With,लानो,Nen,Prepositions
0363,Without,बानाय,Telin,Prepositions
0364,And,आरो,Leh,Conjunctions
0365,Or,बा,Emaw,Conjunctions
0366,But,दिनाय,Mahse,Conjunctions
0367,Because,थांखो,Chuvang,Conjunctions
0368,What,मा,Eng,Questions
0369,Where,गान,Khawi,Questions
0370,When,मावनो,Engtin,Questions
0371,Who,सोर,Tu,Questions
0372,Why,माबाव,Engvangin,Questions
0373,How,जोबोन,Engtin,Questions
0374,Which,मो,Eng nge,Questions
0375,Whose,सोरनि,Tu ta,Questions
0376,Hi,सुबुं,Chibai,Daily Interaction
0377,Hello,हनाय,Khawngai,Basic Common Words
0378,Yes,हां,Awm e,Basic Common Words
0379,No,नang,Aih lo,Basic Common Words
0380,Thank you,गोजौ,Ka lawm e,Basic Common Words
0381,Sorry,गोजों,Ka lawm lo,Basic Common Words
0382,Please,अननाय,Fiah rawh,Basic Common Words
0383,Come,फार,Lo kal rawh,Basic Common Words
0384,Go,थां,Kal rawh,Basic Common Words
0385,Sit,बख,Inn la,Basic Common Words
0386,Stand,थान,In chhung chhuah rawh,Basic Common Words
0387,Eat,खाबाय,Ei rawh,Basic Common Words
0388,Drink,मिन,Tih rawh,Basic Common Words
0389,Wait,थार,Ngai rawh,Basic Common Words
0390,Stop,थांहा,Tit rawh,Basic Common Words
0391,Start,होननाय,Tan la,Basic Common Words
0392,Open,खेव,Hawng rawh,Basic Common Words
0393,Close,बोन,Khum rawh,Basic Common Words
0394,Write,लिर,Ziak rawh,Basic Common Words
0395,Read,फराय,Chhiar rawh,Basic Common Words
0396,Listen,सोङ,Thlir rawh,Basic Common Words
0397,Look,फाइडों,En rawh,Basic Common Words
0398,Speak,फार,Lo sawi rawh,Basic Common Words
0399,Understand,गोजौ खायला,Hrethiam,Basic Common Words
0400,Help,मद,Tihdam rawh,Basic Common Words
0401,Good,गोजौ,A tha,Basic Common Words
0402,Teacher,जारि,Zirtir,Classroom Words
0403,Student,सिखारि,Zirlai,Classroom Words
0404,Book,बुक,Lehkhabu,Classroom Words
0405,Pen,कलम,Dap,Classroom Words
0406,Notebook,नोटखाबु,Lehkhathawn,Classroom Words
0407,Homework,होमवर्क,Hriselna thawn,Classroom Words
0408,Class,सिँ,Inzirlai,Classroom Words
0409,Question,फोथाय,Zawhna,Classroom Words
0410,Answer,उत्तोर,Chhan,Classroom Words
0411,Lesson,होननाय,Thupui,Classroom Words
0412,Exam,पोरिखा,Inkhawm thleng,Classroom Words
0413,Result,फाइना,Thil tihlan,Classroom Words
0414,Marks,नुम,Mark-ah,Classroom Words
0415,Page,फोथाय,Dul,Classroom Words
0416,Paragraph,अनसै,Chhiarphung,Classroom Words
0417,Sentence,फारदों,Sawipui,Classroom Words
0418,Word,गोबाय,Thilpek,Classroom Words
0419,Write fast,फोर लिर,Ziak ṭha suh,Classroom Words
0420,Read loudly,फार जोर,Chhiar sak rawh,Classroom Words
0421,Slowly,फेरसों,Tui hle,Classroom Words
0422,Quickly,थांदों,Tui zet,Classroom Words
0423,Correct,गोजौ,A dik,Classroom Words
0424,Wrong,मोनो,A dik lo,Classroom Words
0425,Sit properly,बखा दां,Inn ṭha rawh,Classroom Words
0426,Pay attention,सोङ फराय,Thinlung dah rawh,Classroom Words
0427,Walk,लाङ,Kal,Daily Use Verbs
0428,Run,दोंदा,Chawlh,Daily Use Verbs
0429,Sleep,खोन,Thial,Daily Use Verbs
0430,Wake up,सोलोन,Tan,Daily Use Verbs
0431,Bring,आनाय,Tih lo kal rawh,Daily Use Verbs
0432,Give,दों,Pe rawh,Daily Use Verbs
0433,Take,खाय,Lo la,Daily Use Verbs
0434,Show,खायदों,A en rawh,Daily Use Verbs
0435,Call,फारदों,Ko rawh,Daily Use Verbs
0436,Clean,गोसै,Suih,Daily Use Verbs
0437,Wash,होन,Hlauh,Daily Use Verbs
0438,Wait here,बैथार,Heah ngai rawh,Daily Use Verbs
0439,Come fast,फारदों थांदों,Lo kal ṭha rawh,Daily Use Verbs
0440,Don't move,थांहा बिहाय,Khawr rawh,Daily Use Verbs
0441,Don't talk,फारहा बिहाय,Sawi suh,Daily Use Verbs
0442,Don't run,दोंदा बिहाय,Chawlh suh,Daily Use Verbs
0443,Start reading,फराय होननाय,Chhiar tan rawh,Daily Use Verbs
0444,Start writing,लिर होननाय,Ziaka tan rawh,Daily Use Verbs
0445,Look here,बैसोङ,Heah en rawh,Daily Use Verbs
0446,Listen here,बैलिसन,Heah ngai rawh,Daily Use Verbs
0447,Stand properly,थाना दां,In chhung chhuah ṭha rawh,Daily Use Verbs
0448,Keep quiet,बोन,Nung chang,Daily Use Verbs
0449,Take care,गोजौ थान,Tihdam rawh,Daily Use Verbs
